,Timestep,tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS,tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUSVAR,tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUSSTD
0,2006-01-02,1.8936132192611694,0.6764161586761475,0.8224452137947083
1,2006-01-03,-1.8584398031234741,1.997005581855774,1.4131544828414917
2,2006-01-04,-6.41644287109375,1.432115912437439,1.196710467338562
3,2006-01-05,-3.146883010864258,0.9998415112495422,0.9999207258224487
4,2006-01-06,-4.364689826965332,1.2712395191192627,1.1274925470352173
5,2006-01-07,-1.486695408821106,0.734507143497467,0.857033908367157
6,2006-01-08,5.027214050292969,0.7492597699165344,0.8655979037284851
7,2006-01-09,3.8922271728515625,2.50606632232666,1.5830559730529785
8,2006-01-10,-4.133814334869385,1.8591558933258057,1.363508701324463
9,2006-01-11,-5.001461982727051,1.4496973752975464,1.2040338516235352
10,2006-01-12,0.8218376040458679,1.863505482673645,1.365102767944336
11,2006-01-13,0.9854477047920227,2.1031110286712646,1.450210690498352
12,2006-01-14,4.188779354095459,2.13993501663208,1.462851643562317
13,2006-01-15,4.683319091796875,3.5265402793884277,1.87790846824646
14,2006-01-16,3.0390093326568604,9.013504028320312,3.0022497177124023
15,2006-01-17,1.3881455659866333,2.0652287006378174,1.4370903968811035
16,2006-01-18,-1.1851125955581665,2.5837621688842773,1.6074085235595703
17,2006-01-19,0.3028528690338135,1.5137885808944702,1.2303611040115356
18,2006-01-20,-4.98361873626709,11.070462226867676,3.327230453491211
19,2006-01-21,0.7470971345901489,2.144782781600952,1.4645076990127563
20,2006-01-22,-3.318953037261963,2.2890286445617676,1.5129536390304565
21,2006-01-23,-7.917730808258057,2.969182014465332,1.7231314182281494
22,2006-01-24,-4.9891133308410645,3.228560447692871,1.7968195676803589
23,2006-01-25,-4.022752285003662,3.976774215698242,1.9941850900650024
24,2006-01-26,-4.815208435058594,2.246882677078247,1.4989604949951172
25,2006-01-27,1.740046501159668,1.3954033851623535,1.1812719106674194
26,2006-01-28,-4.035528659820557,2.073608875274658,1.4400030374526978
27,2006-01-29,-8.985628128051758,2.8126401901245117,1.6770927906036377
28,2006-01-30,-5.010213851928711,5.90325403213501,2.429661273956299
29,2006-01-31,-0.299665242433548,3.4405672550201416,1.8548766374588013
30,2006-02-01,-0.78848797082901,4.724628448486328,2.1736209392547607
31,2006-02-02,-5.843578338623047,7.497687339782715,2.7381904125213623
32,2006-02-03,-8.39836597442627,4.404231548309326,2.098626136779785
33,2006-02-04,-6.449377536773682,2.7479844093322754,1.6577045917510986
34,2006-02-05,-6.621965408325195,3.783602714538574,1.9451484680175781
35,2006-02-06,-2.2839348316192627,6.656333923339844,2.5799872875213623
36,2006-02-07,2.118140459060669,2.1180880069732666,1.4553653001785278
37,2006-02-08,-3.260679244995117,6.981089115142822,2.6421749591827393
38,2006-02-09,-10.52502155303955,5.383873462677002,2.320317506790161
39,2006-02-10,-9.20767593383789,2.5964534282684326,1.6113513708114624
40,2006-02-11,-0.4192613959312439,1.4394925832748413,1.1997885704040527
41,2006-02-12,2.294002056121826,1.3790197372436523,1.1743167638778687
42,2006-02-13,3.568321466445923,1.3674148321151733,1.1693651676177979
43,2006-02-14,3.7304558753967285,1.1920576095581055,1.0918139219284058
44,2006-02-15,3.4092183113098145,1.6206016540527344,1.2730284929275513
45,2006-02-16,2.962904453277588,1.4708082675933838,1.212768793106079
46,2006-02-17,3.3058695793151855,3.1429624557495117,1.7728402614593506
47,2006-02-18,2.574878215789795,3.247487783432007,1.8020787239074707
48,2006-02-19,2.63983154296875,3.5993258953094482,1.8971889019012451
49,2006-02-20,2.9281351566314697,5.403688907623291,2.3245835304260254
50,2006-02-21,3.8519036769866943,4.343416213989258,2.0840864181518555
51,2006-02-22,7.88796329498291,4.5851898193359375,2.141305685043335
52,2006-02-23,1.756550908088684,2.320615530014038,1.5233566761016846
53,2006-02-24,-7.068694114685059,2.7263119220733643,1.6511547565460205
54,2006-02-25,-5.709948539733887,3.4907779693603516,1.8683624267578125
55,2006-02-26,-4.4329094886779785,2.264704465866089,1.5048935413360596
56,2006-02-27,-5.9342145919799805,2.5426185131073,1.5945590734481812
57,2006-02-28,-4.254371166229248,1.8980371952056885,1.377692699432373
58,2006-03-01,-0.8251547813415527,1.077023983001709,1.0377976894378662
59,2006-03-02,0.056330546736717224,1.4899860620498657,1.2206498384475708
60,2006-03-03,1.7986336946487427,2.2069363594055176,1.4855761528015137
61,2006-03-04,2.1166512966156006,3.774843692779541,1.9428956508636475
62,2006-03-05,-4.291857719421387,2.457972526550293,1.567792296409607
63,2006-03-06,-1.7505791187286377,1.4041850566864014,1.1849831342697144
64,2006-03-07,-0.5821219086647034,2.2503468990325928,1.5001156330108643
65,2006-03-08,0.8836274147033691,3.1335220336914062,1.7701756954193115
66,2006-03-09,-4.295507431030273,2.746176242828369,1.6571590900421143
67,2006-03-10,-6.445928573608398,6.153916358947754,2.4807088375091553
68,2006-03-11,1.954230546951294,14.308526039123535,3.782661199569702
69,2006-03-12,2.4025044441223145,10.47012996673584,3.235758066177368
70,2006-03-13,-3.5865888595581055,5.027215957641602,2.242145299911499
71,2006-03-14,-4.194817066192627,1.7138092517852783,1.3091254234313965
72,2006-03-15,-3.907954216003418,2.872420072555542,1.6948215961456299
73,2006-03-16,-2.6686959266662598,2.921387195587158,1.7092065811157227
74,2006-03-17,-3.450068712234497,2.9193623065948486,1.7086141109466553
75,2006-03-18,-2.089054822921753,2.0877697467803955,1.4449117183685303
