,Timestep,tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS,tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUSVAR,tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUSSTD
0,2006-01-02,17.925403594970703,2.0435118675231934,1.4295145273208618
1,2006-01-03,10.032845497131348,2.110887289047241,1.452889323234558
2,2006-01-04,11.880088806152344,2.0129387378692627,1.4187806844711304
3,2006-01-05,13.431618690490723,2.921208620071411,1.7091543674468994
4,2006-01-06,13.76404094696045,3.4668960571289062,1.8619602918624878
5,2006-01-07,14.197526931762695,1.6230729818344116,1.2739988565444946
6,2006-01-08,16.07037353515625,1.8728747367858887,1.3685301542282104
7,2006-01-09,12.562417984008789,2.8153281211853027,1.6778939962387085
8,2006-01-10,10.795802116394043,3.3475863933563232,1.8296411037445068
9,2006-01-11,13.141541481018066,1.893511414527893,1.3760491609573364
10,2006-01-12,11.631192207336426,4.064695835113525,2.016108989715576
11,2006-01-13,7.758892059326172,2.1284267902374268,1.4589128494262695
12,2006-01-14,12.87405776977539,3.031083106994629,1.7410006523132324
13,2006-01-15,14.571464538574219,2.319338083267212,1.522937297821045
14,2006-01-16,12.56067943572998,7.737317085266113,2.7816033363342285
15,2006-01-17,9.995802879333496,6.316143035888672,2.5131938457489014
16,2006-01-18,11.318798065185547,3.0827744007110596,1.7557830810546875
17,2006-01-19,9.291112899780273,2.9954264163970947,1.7307300567626953
18,2006-01-20,6.0672454833984375,3.6445841789245605,1.9090794324874878
19,2006-01-21,9.308669090270996,1.766663908958435,1.329159140586853
20,2006-01-22,7.6677069664001465,2.010314702987671,1.4178556203842163
21,2006-01-23,3.693732261657715,2.3136675357818604,1.5210744142532349
22,2006-01-24,6.538898944854736,2.189457893371582,1.4796817302703857
23,2006-01-25,8.258265495300293,1.7653409242630005,1.328661322593689
24,2006-01-26,3.4386112689971924,6.122913837432861,2.474452257156372
25,2006-01-27,9.140542984008789,1.9668937921524048,1.4024598598480225
26,2006-01-28,6.802231311798096,2.263152599334717,1.504377841949463
27,2006-01-29,5.751993179321289,1.9189279079437256,1.3852537870407104
28,2006-01-30,10.019811630249023,9.480360984802246,3.079019546508789
29,2006-01-31,9.85720157623291,5.956000804901123,2.4404919147491455
30,2006-02-01,13.036283493041992,5.897239685058594,2.4284234046936035
31,2006-02-02,7.42299222946167,5.715901851654053,2.3907952308654785
32,2006-02-03,4.261199474334717,5.731855392456055,2.3941292762756348
33,2006-02-04,7.347999572753906,4.163898468017578,2.0405633449554443
34,2006-02-05,1.644020676612854,5.702054977416992,2.387897491455078
35,2006-02-06,7.477195739746094,22.82451057434082,4.777500629425049
36,2006-02-07,10.847845077514648,4.887436389923096,2.210754632949829
37,2006-02-08,13.666435241699219,3.6745917797088623,1.9169224500656128
38,2006-02-09,1.709385633468628,6.600052833557129,2.569056749343872
39,2006-02-10,9.892487525939941,4.112767219543457,2.0279958248138428
40,2006-02-11,15.601835250854492,2.107088804244995,1.4515814781188965
41,2006-02-12,14.902795791625977,2.779616355895996,1.6672182083129883
42,2006-02-13,14.46366024017334,5.039306640625,2.244839906692505
43,2006-02-14,14.68262767791748,7.293209075927734,2.700594186782837
44,2006-02-15,14.014639854431152,5.7705979347229,2.4022068977355957
45,2006-02-16,14.208821296691895,4.04661226272583,2.0116193294525146
46,2006-02-17,15.35905933380127,3.231597423553467,1.7976644039154053
47,2006-02-18,18.130386352539062,4.1396050453186035,2.034601926803589
48,2006-02-19,19.22591209411621,4.087221145629883,2.0216877460479736
49,2006-02-20,19.21946907043457,3.5155551433563232,1.87498140335083
50,2006-02-21,18.242414474487305,3.1018223762512207,1.7611991167068481
51,2006-02-22,16.362077713012695,5.9715447425842285,2.443674325942993
52,2006-02-23,13.012426376342773,2.0785739421844482,1.4417259693145752
53,2006-02-24,3.5616490840911865,5.0123443603515625,2.2388265132904053
54,2006-02-25,1.856277346611023,8.372956275939941,2.893606185913086
55,2006-02-26,7.54135274887085,7.857850551605225,2.8031857013702393
56,2006-02-27,11.099488258361816,4.173384189605713,2.042886257171631
57,2006-02-28,13.7879638671875,2.9991273880004883,1.7317988872528076
58,2006-03-01,15.55454158782959,3.7420570850372314,1.934439778327942
59,2006-03-02,18.78889274597168,4.219784259796143,2.054211378097534
60,2006-03-03,15.301436424255371,2.533060312271118,1.5915590524673462
61,2006-03-04,12.911091804504395,3.187317132949829,1.7853058576583862
62,2006-03-05,12.001703262329102,3.7816028594970703,1.9446343183517456
63,2006-03-06,16.66608238220215,4.9242329597473145,2.2190613746643066
64,2006-03-07,19.507774353027344,4.479527950286865,2.1164896488189697
65,2006-03-08,12.47071647644043,3.1405961513519287,1.7721726894378662
66,2006-03-09,7.691111087799072,5.170431137084961,2.2738583087921143
67,2006-03-10,10.319019317626953,3.8106415271759033,1.9520864486694336
68,2006-03-11,19.27894401550293,2.698352336883545,1.642666220664978
69,2006-03-12,15.937931060791016,12.789870262145996,3.5762927532196045
70,2006-03-13,3.395545721054077,7.531067371368408,2.744278907775879
71,2006-03-14,9.552330017089844,4.197293281555176,2.048729658126831
72,2006-03-15,10.153694152832031,3.4946672916412354,1.8694028854370117
73,2006-03-16,12.88414192199707,3.844050645828247,1.9606250524520874
74,2006-03-17,15.084908485412598,3.122058868408203,1.766934871673584
75,2006-03-18,18.21462059020996,3.421537399291992,1.8497397899627686
76,2006-03-19,16.938270568847656,3.9978432655334473,1.9994606971740723
77,2006-03-20,9.640564918518066,5.73923397064209,2.395669937133789
